lat&lon,name_of_business,distance_on_4sq,address
48.842524_2.364044,Institut du Monde Arabe,880,"1 rue des Fossés-Saint-Bernard, place Mohammed-V"
48.842524_2.364044,Grande Volière,427,57 rue Cuvier
48.842524_2.364044,Pret A Manger,782,place Louis Armand
48.842524_2.364044,Café A l'Express de Lyon,702,1 rue de Lyon
48.842524_2.364044,Sellae,539,18 rue des Wallons 13th Arr
48.842524_2.364044,Supersonic,955,12 rue Biscornet
48.842524_2.364044,Chez Papa,960,40 boulevard de la Bastille
48.842524_2.364044,La Maison des Trois Thés,920,1 rue Saint-Médard
48.842524_2.364044,Les Belles Plantes,571,47 rue Cuvier
48.842524_2.364044,Il Quadrifoglio,760,19 boulevard Bourdon
48.842524_2.364044,Eric Kayser,610,13 boulevard Diderot
48.842524_2.364044,Maison Grégoire,862,69 rue Monge
48.842524_2.364044,Restaurant aux Cadrans du P.L.M.,758,21 Quinquies boulevard Diderot
48.842524_2.364044,Anticafé Station F,1008,55 boulevard Vincent Auriol
48.842524_2.364044,Café Oz Rooftop,523,"34 quai d'Austerlitz, 13e"
48.842524_2.364044,Chez Lili et Marcel,871,1 quai d'Austerlitz
48.842524_2.364044,Le Sully,955,6 boulevard Henri IV
48.842524_2.364044,Pizza Roma d'Amore Mio,705,13 rue Linné
48.842524_2.364044,La Parisienne,867,22 boulevard Diderot
48.842524_2.364044,Bistro du Marché,865,75 bis rue Monge
48.842524_2.364044,La Ménagerie,730,90 boulevard de l'Hôpital
48.842524_2.364044,Café Terminus Lyon,670,19 boulevard Diderot
48.842524_2.364044,Paris Austerlitz Railway Station (Gare SNCF de Paris Austerlitz),198,7 bis Boulevard de l'Hôpital
48.842524_2.364044,L'Européen,720,"21 bis, boulevard Diderot"
48.842524_2.364044,La Promenade Brasserie,981,32 avenue Dausmenil
48.842524_2.364044,Le Nouvel Institut,972,1 boulevard Saint-Germain
48.842524_2.364044,Institut Français de la Mode (Institut Français de la Mode (IFM)),421,36 quai d'Austerlitz
48.842524_2.364044,Starbucks,741,place Louis Armand
48.842524_2.364044,Les Docks – Cité de la Mode et du Design,486,34 quai d'Austerlitz
48.842524_2.364044,Clint,570,18 avenue Ledru-Rollin
48.842524_2.364044,Pierres Précieuses,584,Grande Galerie de l'Évolution
48.842524_2.364044,Faculté de Médecine de la Pitié-Salpêtrière,591,91 boulevard de l'Hôpital
48.842524_2.364044,Atrium Cafe,602,UPMC – Paris VI
48.842524_2.364044,Columbus Café,625,193 rue de Bercy
48.842524_2.364044,We Smile Gare de Lyon,644,15 rue Traversière
48.842524_2.364044,Grand Mosque of Paris (Grande Mosquée de Paris),675,2 bis place du Puits de l’Ermite
48.842524_2.364044,Central Seine,691,46 quai de la Râpée
48.842524_2.364044,Bistrot de la Gare,695,1 rue de Lyon
48.842524_2.364044,Fu Castella,785,113 boulevard de l'Hopital
48.842524_2.364044,Université Pierre et Marie Curie,829,4 place Jussieu
48.842524_2.364044,Le Viaduc Café,987,"43 avenue Daumesnil, 12e"
48.842524_2.364044,Les Affranchis,904,14 avenue Daumesnil
48.852804604940296_2.293077029857222,Le Casse Noix,178,"56 rue de la Fédération, 15e"
48.852804604940296_2.293077029857222,Poilâne,143,"49 boulevard de Grenelle, 15e"
48.852804604940296_2.293077029857222,L'Abreuvoir,319,24 rue du Docteur Finlay
48.852804604940296_2.293077029857222,Le Plan B,457,28 rue de Lourmel
48.852804604940296_2.293077029857222,La Cantine du Troquet Dupleix,165,53 boulevard de Grenelle
48.852804604940296_2.293077029857222,O Coffeeshop,436,23 rue de Lourmel
48.852804604940296_2.293077029857222,Au Dernier Métro,270,70 boulevard de Grenelle
48.852804604940296_2.293077029857222,Restaurant 58 Tour Eiffel,623,5 avenue Anatole France
48.852804604940296_2.293077029857222,Pizza Di Napoli,147,31 boulevard de Grenelle
48.852804604940296_2.293077029857222,Terres de Café,766,"67 avenue de la Bourdonnais, 7e"
48.852804604940296_2.293077029857222,Le Suffren,575,84 avenue de Suffren
48.852804604940296_2.293077029857222,Carrousel de la Tour Eiffel,686,promenade quai Branly
48.852804604940296_2.293077029857222,Pathé Beaugrenelle,868,7 rue Linois
48.852804604940296_2.293077029857222,Le Beaujolais,269,28 avenue de Suffren
48.852804604940296_2.293077029857222,Musée du quai Branly (Musée du Quai Branly – Jacques Chirac),948,37 quai Branly
48.852804604940296_2.293077029857222,Au Bon Accueil,888,14 rue de Monttessuy
48.852804604940296_2.293077029857222,La Fontaine de Mars,935,129 rue Saint-Dominique
48.852804604940296_2.293077029857222,Il Sorrentino,980,20 rue de Monttessuy
48.852804604940296_2.293077029857222,Kozy Salon Urbain,930,79 avenue Bosquet
48.852804604940296_2.293077029857222,Les Cocottes,873,"135 rue St-Dominique, 7e"
48.852804604940296_2.293077029857222,Gloria,957,108 rue Saint-Dominique
48.852804604940296_2.293077029857222,FRAME Brasserie California,341,28 rue Jean Rey
48.852804604940296_2.293077029857222,Boulangerie Suffren 55,352,55 avenue de Suffren
48.852804604940296_2.293077029857222,Le Café du Commerce,745,51 rue du Commerce
48.852804604940296_2.293077029857222,Arnaud Nicolas,751,46 avenue de la Bourdonnais
48.852804604940296_2.293077029857222,Starbucks,522,66 avenue de la Motte-Picquet
48.852804604940296_2.293077029857222,Ladurée,621,5 avenue Anatole France
48.852804604940296_2.293077029857222,Café le Piquet,567,48 avenue de la Motte-Picquet
48.852804604940296_2.293077029857222,La Gauloise,544,"59 avenue de la Motte-Picquet, 15e"
48.852804604940296_2.293077029857222,Firmine,252,"38 bis, avenue de Suffren"
48.852804604940296_2.293077029857222,Alfio,762,43 avenue de la Bourdonnais
48.852804604940296_2.293077029857222,Le Gatsby,907,64 avenue Bosquet
48.852804604940296_2.293077029857222,Mazeh,877,65 rue des Entrepreneurs
48.852804604940296_2.293077029857222,Eclectic,912,2 rue Linois
48.852804604940296_2.293077029857222,L'Atelier Suffren,875,110 avenue de Suffren
48.852804604940296_2.293077029857222,Brasserie de la Tour Eiffel,859,2 avenue de la Bourdonnais quai Branly
48.852804604940296_2.293077029857222,Bistrot de la Tour Eiffel,805,21 avenue de la Bourdonnais
48.852804604940296_2.293077029857222,New Jawad,1001,12 avenue de la Rapp
48.852804604940296_2.293077029857222,Le Passy,903,2 rue de Passy
48.852804604940296_2.293077029857222,Bistro Dupleix,261,62 boulevard de Grenelle
48.852804604940296_2.293077029857222,Linette,968,16 Av. Rapp
48.852804604940296_2.293077029857222,Bistro Saint Dominique,915,131 rue Saint-Dominique
48.852804604940296_2.293077029857222,Boulangerie de la Tour Eiffel,807,21 avenue de la Bourdonnais
48.852804604940296_2.293077029857222,Le Bosquet,928,46 avenue Bosquet
48.852804604940296_2.293077029857222,Castel Cafe,464,5 avenue de Suffren
48.852804604940296_2.293077029857222,Starbucks,825,83 rue Saint-Charles
48.852804604940296_2.293077029857222,Maison de Balzac,1009,"47 rue Raynouard, 16e"
48.852804604940296_2.293077029857222,Madame Brasserie,624,5 avenue Anatole France
48.852804604940296_2.293077029857222,Le Campanella,1005,18 avenue Bosquet
48.852804604940296_2.293077029857222,Capitaine Fracasse,509,Pont de Bir Hakeim
48.893923963057865_2.39790290594101,Le Trabendo,310,"211 avenue Jean-Jaures, 19th"
48.893923963057865_2.39790290594101,Philharmonie de Paris,421,"211 avenue Jean Jaurès, 75019"
48.893923963057865_2.39790290594101,Cabaret Sauvage,442,"211 avenue Jean Jaurès, 19e"
48.893923963057865_2.39790290594101,Cité de la Musique,532,221 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Zénith Paris,340,211 avenue Jean Jaurès 19th
48.893923963057865_2.39790290594101,Grande Halle de la Villette,613,211 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Pathé la Villette,671,30 avenue Corentin Cariou
48.893923963057865_2.39790290594101,Cité des enfants,723,"Cite des Sciences et de l'Industrie 30 avenue Corentin-Cariou, 19th"
48.893923963057865_2.39790290594101,La Cité Fertile,533,14 avenue Edouard Vaillant
48.893923963057865_2.39790290594101,Cité des Sciences et de l'Industrie,800,30 avenue Corentin Cariou
48.893923963057865_2.39790290594101,Stade Jules Ladoumègue,94,route des Petits Ponts
48.893923963057865_2.39790290594101,Au Bœuf Couronné,827,188 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Chez Arnaud,836,16 rue Eugène Jumin
48.893923963057865_2.39790290594101,Ciné 104,814,104 avenue Jean Lolive
48.893923963057865_2.39790290594101,À la Folie,928,26 avenue Corentin Cariou
48.893923963057865_2.39790290594101,Planétarium,785,30 avenue Corentin Cariou
48.893923963057865_2.39790290594101,L'Argonaute,610,30 avenue Corentin Cariou
48.893923963057865_2.39790290594101,La Plage,924,41 quai de l'Oise
48.893923963057865_2.39790290594101,Brunello,478,22 /24 quai de l'Aisne
48.893923963057865_2.39790290594101,Subway,699,91 ter avenue Jean Lolive
48.893923963057865_2.39790290594101,Le Biclowne Café,690,210 avenue Jean Jaurès 75019
48.893923963057865_2.39790290594101,Le Relais,829,61 rue Victor Hugo
48.893923963057865_2.39790290594101,Ernest & Valentin Pantin,247,37 rue Hoche
48.893923963057865_2.39790290594101,Pizzeria Marcello,318,8 rue du Général Compans
48.893923963057865_2.39790290594101,Eau Canal,351,1 avenue Edouard Vaillant
48.893923963057865_2.39790290594101,Nagasaki,771,194 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Ocimum,406,49 avenue Jean Lolive
48.893923963057865_2.39790290594101,Tennis Sept Arpents,446,9 rue des Sept Arpents
48.893923963057865_2.39790290594101,Le Saint Claude,462,56 avenue Jean Lolive
48.893923963057865_2.39790290594101,Pizza Center Milano,580,37 rue du Pré Saint-Gervais
48.893923963057865_2.39790290594101,Food Park,606,26-28 quai de l'Aisne
48.893923963057865_2.39790290594101,Le Nexus,684,100 avenue du Général Leclerc
48.893923963057865_2.39790290594101,La Galerie Stardust,693,37 rue de Stalingrad
48.893923963057865_2.39790290594101,McDonald's,711,208 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Conservatoire National Supérieur de Musique et de Danse de Paris,750,209 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Le Rest'O,755,30bis avenue Corentin Cariou
48.893923963057865_2.39790290594101,Sand Fabrik,775,45 rue Delizy
48.893923963057865_2.39790290594101,Au Boeuf Couronné,828,188 avenue Jean Jaurès
48.893923963057865_2.39790290594101,LigthSushi,836,17 rue Eugène Jumin
48.893923963057865_2.39790290594101,Il Mondo,882,157 boulevard Serrurier
48.893923963057865_2.39790290594101,O Sushi,895,187-189 avenue Jean Jaurés
48.893923963057865_2.39790290594101,Ito Sushi,906,2 rue Adolphe Mille
48.893923963057865_2.39790290594101,Campanile Paris Establissements,520,62-64 avenue Jean-Lolive
48.893923963057865_2.39790290594101,Restaurant du Parc,930,185 avenue Jean Jaurès
48.893923963057865_2.39790290594101,Arkose Pantin,957,55 rue Cartier Bresson
48.893923963057865_2.39790290594101,La Vache Bleue,1012,25 quai de l'Oise
48.893923963057865_2.39790290594101,Hippopotamus,975,"28 ter, avenue Corentin Cariou"
48.893923963057865_2.39790290594101,McDonald's,852,32 avenue Corentin Cariou
48.893923963057865_2.39790290594101,Croquembouche,294,52 rue Hoche
48.893923963057865_2.39790290594101,Sogeres,401,"9 rue du Debarcadere, Bnp Paribas les Grands Moulins"
48.84702057165222_2.3464982619671075,Jozi Café,104,3 rue Valette
48.84702057165222_2.3464982619671075,Le Bistro du Périgord,335,69-73 rue Saint-Jacques
48.84702057165222_2.3464982619671075,La Maison d'Isabelle,361,47 ter boulevard Saint-Germain
48.84702057165222_2.3464982619671075,La Filmothèque du Quartier Latin,399,9 rue Champollion
48.84702057165222_2.3464982619671075,Strada Café,349,"24 rue Monge, 5e"
48.84702057165222_2.3464982619671075,La Parisienne,403,52 boulevard Saint-Germain
48.84702057165222_2.3464982619671075,Musée Curie,318,11 rue Pierre et Marie Curie
48.84702057165222_2.3464982619671075,Boulangerie Kayser,311,"14 rue Monge, 5e"
48.84702057165222_2.3464982619671075,Au P'tit Grec,519,68 rue Mouffetard
48.84702057165222_2.3464982619671075,Au Père Louis,489,38 rue Monsieur le Prince
48.84702057165222_2.3464982619671075,Castor Club,624,"14 rue Hautefeuille, 6e"
48.84702057165222_2.3464982619671075,Dealer de Café,588,73 rue Mouffetard
48.84702057165222_2.3464982619671075,Le Choupinet,426,58 boulevard Saint-Michel
48.84702057165222_2.3464982619671075,A. Lacroix Pâtissier & Glacier,563,11 quai de Montebello
48.84702057165222_2.3464982619671075,Odette,557,"77 rue Galande, 5e"
48.84702057165222_2.3464982619671075,Amorino,667,16 rue de la Huchette
48.84702057165222_2.3464982619671075,Caveau de la Huchette,640,"5 rue de la Huchette, 5e"
48.84702057165222_2.3464982619671075,La Robe & la Mousse,747,3 rue Monsieur le Prince
48.84702057165222_2.3464982619671075,Shiso Burger,711,21 quai Saint Michel
48.84702057165222_2.3464982619671075,Bouillon Racine,486,"3 rue Racine, 6e"
48.84702057165222_2.3464982619671075,Breizh Café,761,1 rue de l'Odéon
48.84702057165222_2.3464982619671075,Chez le Libanais,780,35 rue Saint-André des Arts
48.84702057165222_2.3464982619671075,La Taverne de Cluny,543,51 rue de la Harpe
48.84702057165222_2.3464982619671075,Croissance 5 Avant comptoir de la mer,813,3 Carrefour de l'Odéon
48.84702057165222_2.3464982619671075,Bar 10,727,10 rue de l'Odéon
48.84702057165222_2.3464982619671075,Le Champo,426,"51 rue des Ecoles, 5th"
48.84702057165222_2.3464982619671075,La Jacobine,886,"59-61 rue St-André des Arts, 6e"
48.84702057165222_2.3464982619671075,Institut du Monde Arabe,778,"1 rue des Fossés-Saint-Bernard, place Mohammed-V"
48.84702057165222_2.3464982619671075,Berthillon,910,29-31 rue Saint-Louis en l'Île
48.84702057165222_2.3464982619671075,Fontaine Saint-Michel,718,7B place Saint-Michel
48.84702057165222_2.3464982619671075,L'Avant Comptoir du Marché,967,"15 rue Lobineau, 6e"
48.84702057165222_2.3464982619671075,Grande Galerie de l'Evolution (Grande Galerie de l'évolution),899,"36 rue Geoffroy-St-Hilaire, 5e"
48.84702057165222_2.3464982619671075,Le Marmiton de Lutece,583,6 rue Saint-S\u00e9verin
48.84702057165222_2.3464982619671075,Le Saint Régis,842,"6 rue Jean du Bellay, 4e"
48.84702057165222_2.3464982619671075,Musée du Luxembourg,932,19 rue de Vaugirard
48.84702057165222_2.3464982619671075,Maison Sauvage,972,5 rue de Buci
48.84702057165222_2.3464982619671075,Le Galway,797,13 quai des Grands Augustins
48.84702057165222_2.3464982619671075,Le Comptoir du Panthéon,199,"5 rue Soufflot, 5e"
48.84702057165222_2.3464982619671075,Paradis Latin,475,28 rue du Cardinal Lemoine
48.84702057165222_2.3464982619671075,Malongo Café,831,50 rue Saint Andr\u00e9 des Arts
48.84702057165222_2.3464982619671075,Ménagerie du Jardin des Plantes,1041,57 rue Cuvier
48.84702057165222_2.3464982619671075,Le Grenier de Notre Dame,572,18 rue de la Bûcherie
48.84702057165222_2.3464982619671075,Café le Quartier Général,429,82 boulevard Saint-Germain
48.84702057165222_2.3464982619671075,Crêperie Genia,656,8 rue de la Harpe
48.84702057165222_2.3464982619671075,Café Panis,591,"21 quai de Montebello, 5e"
48.84702057165222_2.3464982619671075,Noir,852,63 rue Saint-Louis en l’Île
48.84702057165222_2.3464982619671075,L'Atlas,987,11 rue de Buci
48.84702057165222_2.3464982619671075,The Moose,835,"16 rue des Quatre Vents, 6e"
48.84702057165222_2.3464982619671075,Le Procope,870,"13 rue de l'Ancienne Comédie, 6e"
48.84702057165222_2.3464982619671075,Cachette,993,8 rue des Chartreux
48.8750898883217_2.382630407810212,Botzaris Café,90,2 rue Botzaris 75019
48.8750898883217_2.382630407810212,Le Baratin,221,3 rue Jouye-Rouve
48.8750898883217_2.382630407810212,Combat,192,63 rue de Belleville
48.8750898883217_2.382630407810212,Il Posto,302,356 rue des Pyrénées
48.8750898883217_2.382630407810212,Culture Rapide,219,103 rue Julien Lacroix
48.8750898883217_2.382630407810212,Le Pavillon Puebla,339,"Parc des Buttes Chaumont, avenue Darcel"
48.8750898883217_2.382630407810212,Boulangerie des Buttes Chaumont (Parc des Buttes-Chaumont),533,rue Botzaris
48.8750898883217_2.382630407810212,Cheval d'Or,362,21 rue de la Villette
48.8750898883217_2.382630407810212,Dame Jane,464,39 rue Ramponeau
48.8750898883217_2.382630407810212,Le Grand Bain,486,14 rue Denoyez
48.8750898883217_2.382630407810212,Rosa Bonheur,604,2 allée de la Cascade Parc des Buttes-Chaumont
48.8750898883217_2.382630407810212,Raviolis du Nord-est de la Chine,601,11 rue Civiale
48.8750898883217_2.382630407810212,Saigon Sandwich,613,8 rue de la Présentation
48.8750898883217_2.382630407810212,Dilia,763,1 rue d'Eupatoria
48.8750898883217_2.382630407810212,Quedubon,356,22 rue du Plateau
48.8750898883217_2.382630407810212,Aux Folies,450,"8 rue de Belleville, 20e"
48.8750898883217_2.382630407810212,Demain c'est loin,765,9 rue Julien Lacroix
48.8750898883217_2.382630407810212,Afrik'N'Fusion,595,330 rue des Pyrénées
48.8750898883217_2.382630407810212,Dong Huong,601,"14 rue Louis Bonnet, 11e"
48.8750898883217_2.382630407810212,Café de la Halle Secrétan,932,33 avenue Secrétan
48.8750898883217_2.382630407810212,Panda Panda,994,21 rue Juliette Dodu
48.8750898883217_2.382630407810212,Samsara,518,3 rue du Jourdain
48.8750898883217_2.382630407810212,Bouche,866,85 rue Jean-Pierre Timbaud
48.8750898883217_2.382630407810212,A la bière comme à la bière,704,353 rue des Pyrénées
48.8750898883217_2.382630407810212,Restaurant Tai Yien,485,5 rue de Belleville
48.8750898883217_2.382630407810212,The Hood,973,80 rue Jean Pierre Timbaud le Citizen Hotel
48.8750898883217_2.382630407810212,La Cerise sur la Pizza,882,96 rue Jean-Pierre Timbaud
48.8750898883217_2.382630407810212,Cô My Cantine,856,18 rue de Ménilmontant
48.8750898883217_2.382630407810212,Le Taïs,980,129 boulevard de Ménilmontant
48.8750898883217_2.382630407810212,Gumbo Yaya,946,3 rue Charles Robin
48.8750898883217_2.382630407810212,Studio de l'Ermitage,869,12 rue de l'Ermitage
48.8750898883217_2.382630407810212,Maison des Métallos,908,94 rue Jean-Pierre Timbaud
48.8750898883217_2.382630407810212,La Cantine de Belleville,552,"108 boulevard de Belleville, 20e"
48.8750898883217_2.382630407810212,Le Bariolé,277,103 rue de Belleville
48.8750898883217_2.382630407810212,Les Mésanges,566,82 rue de la Mare
48.8750898883217_2.382630407810212,Mian Guan,300,34 rue de Belleville
48.8750898883217_2.382630407810212,La Java,780,"105 rue du Faubourg du Temple, 11e"
48.8750898883217_2.382630407810212,L'Atelier Libanais,209,91 rue de Belleville
48.8750898883217_2.382630407810212,Les Triplettes de Bellevilles,584,102 boulevard de Belleville
48.8750898883217_2.382630407810212,La Sardine,729,32 place Sainte-Marthe
48.8750898883217_2.382630407810212,Le 9b,654,68 boulevard de la Villette
48.8750898883217_2.382630407810212,Théâtre Popul'Air du Reinitas,716,36 rue Henri Chevreau
48.8750898883217_2.382630407810212,La Cagnotte,378,13 rue Jean Baptiste Dumay
48.8750898883217_2.382630407810212,Royal Belleville,566,120-124 rue du Faubourg du Temple
48.8750898883217_2.382630407810212,Café Bolivar,981,31 avenue Secrétan
48.8750898883217_2.382630407810212,Sunny,547,84 avenue Secrétan
48.8750898883217_2.382630407810212,Aux Bons Amis,522,11 rue de l'Atlas
48.8750898883217_2.382630407810212,Le Barouf,346,115 rue de Belleville
48.8750898883217_2.382630407810212,Cannibale Café,780,"93 rue jean pierre timbaud, Paris"
48.8750898883217_2.382630407810212,L'Assassin,726,99 rue Jean Pierre Timbaud
48.87503465588394_2.359801238597928,Les Enfants Perdus,171,9 rue des Récollets
48.87503465588394_2.359801238597928,Pâtisserie Boulangerie Liberté,252,39 rue des Vinaigriers
48.87503465588394_2.359801238597928,Early June,343,19 rue Jean Poulmarch
48.87503465588394_2.359801238597928,Résidence Kann Coffee Shop,299,28 rue des Vinaigriers
48.87503465588394_2.359801238597928,Holybelly 5,448,19 rue Lucien Sampaix
48.87503465588394_2.359801238597928,Du Pain et des Idées,478,"34 rue Yves Toudic, 10e"
48.87503465588394_2.359801238597928,Le Comptoir Général,513,80-82 quai de Jemmapes
48.87503465588394_2.359801238597928,Jah Jah By le Tricycle,536,11 rue des Petites Ecuries
48.87503465588394_2.359801238597928,CopperBay,605,"5 rue Bouchardon, 10e"
48.87503465588394_2.359801238597928,Immersion,440,8 rue Lucien Sampaix
48.87503465588394_2.359801238597928,Paris New York,555,50 rue du Faubourg Saint-Denis
48.87503465588394_2.359801238597928,Libertino by Big Mamma,709,44 rue de Paradis
48.87503465588394_2.359801238597928,Dumbo,539,14 rue des Petites Ecuries
48.87503465588394_2.359801238597928,I.B.U,657,20 cour des Petites Écuries
48.87503465588394_2.359801238597928,Le Perchoir de l'Est,148,10 place du Onze Novembre 1918
48.87503465588394_2.359801238597928,ISTR,855,41 rue Notre Dame de Nazareth
48.87503465588394_2.359801238597928,Bon Esprit,869,310 rue Saint-Martin
48.87503465588394_2.359801238597928,Saravanaa Bhavan,572,170 rue du Faubourg Saint-Denis
48.87503465588394_2.359801238597928,NENI Paris,620,12 boulevard de Denain
48.87503465588394_2.359801238597928,Brasserie Bellanger,971,140 rue du Faubourg Poissonnière
48.87503465588394_2.359801238597928,La Maison Bleue,707,7 place Franz Liszt
48.87503465588394_2.359801238597928,Brussels Beer Project,579,47 bis rue Bichat
48.87503465588394_2.359801238597928,La Cidrerie,692,51 quai de Valmy
48.87503465588394_2.359801238597928,Starbucks,215,place du Onze Novembre 1918 Gare de l'Est
48.87503465588394_2.359801238597928,Umami Matcha Café,989,22 rue Béranger
48.87503465588394_2.359801238597928,Les Parigots,660,5 rue du Château d'Eau
48.87503465588394_2.359801238597928,Point Éphémère,976,"200 quai de Valmy, 10e"
48.87503465588394_2.359801238597928,Le Brady,475,39 boulevard de Strasbourg
48.87503465588394_2.359801238597928,Elmer,859,30 rue Notre Dame de Nazareth
48.87503465588394_2.359801238597928,Burger And Fries,800,1 boulevard de Bonne Nouvelle rue Saint-Denis
48.87503465588394_2.359801238597928,La Marine,640,55 quai de Valmy
48.87503465588394_2.359801238597928,Palais des Glaces,899,37 rue du Faubourg du Temple
48.87503465588394_2.359801238597928,Martin Bar,733,40 bis rue René Boulanger
48.87503465588394_2.359801238597928,Khayma rooftop,784,9-11 place du Colonel Fabien
48.87503465588394_2.359801238597928,Yann Couvreur Pâtisserie,971,137 avenue Parmentier
48.87503465588394_2.359801238597928,Musée des Arts et Métiers,1063,60 rue Réaumur
48.87503465588394_2.359801238597928,Brasserie Dubillot,976,222 rue Saint-Denis
48.87503465588394_2.359801238597928,Chez Prune,514,36 rue Beaurepaire quai de Valmy
48.87503465588394_2.359801238597928,Le Plomb du Cantal,715,4 boulevard Saint Denis
48.87503465588394_2.359801238597928,Bombay Palace,438,149 rue du Faubourg Saint-Denis
48.87503465588394_2.359801238597928,Belushi's Gare du Nord,497,5 rue de Dunkerque
48.87503465588394_2.359801238597928,El Guacamole,435,37 rue Yves Toudic
48.87503465588394_2.359801238597928,Brasserie Julien,694,16 rue du Faubourg Saint-Denis
48.87503465588394_2.359801238597928,Bo&Mie,772,359 rue Saint-Martin
48.87503465588394_2.359801238597928,Carton Bio,612,6 boulevard de Denain
48.87503465588394_2.359801238597928,République of Coffee,790,2 boulevard Saint-Martin
48.87503465588394_2.359801238597928,Le Sully,728,13 rue du Faubourg Saint-Denis
48.87503465588394_2.359801238597928,Le café de l'église,656,2 place Franz Liszt
48.87503465588394_2.359801238597928,Aux Péchés Normands,869,9 rue du Faubourg du Temple 75010
48.87503465588394_2.359801238597928,The Cork and Cavan,605,"70 quai de Jemmapes, 10e"
48.861142162761_2.3677996181077,Le Mary Celeste,214,"1 rue Commines, Paris"
48.861142162761_2.3677996181077,Candelaria,344,"56 rue de Saintonge, Paris"
48.861142162761_2.3677996181077,La Cantine de Merci,71,111 boulevard Beaumarchais
48.861142162761_2.3677996181077,Bambino,153,25 rue Saint-Sébastien
48.861142162761_2.3677996181077,Ober Mamma,411,107 boulevard Richard Lenoir
48.861142162761_2.3677996181077,Little Red Door,423,"60 rue Charlot, Paris"
48.861142162761_2.3677996181077,Boulangerie Utopie,470,20 rue Jean Pierre Timbaud
48.861142162761_2.3677996181077,Marché des Enfants-Rouges,462,"39 rue de Bretagne, 3e"
48.861142162761_2.3677996181077,La Chocolaterie de Jacques Genin,442,"133 rue de Turenne, 3e"
48.861142162761_2.3677996181077,Chez Alain Miam Miam,448,26 rue Charlot
48.861142162761_2.3677996181077,Les Enfants du Marché,468,39 rue de Bretagne
48.861142162761_2.3677996181077,Breizh Café,442,109 rue Vieille du Temple
48.861142162761_2.3677996181077,Musée National Picasso (Musée Picasso),425,5 rue de Thorigny
48.861142162761_2.3677996181077,Boulangerie Chambelland,551,"14 rue Ternaux, 11e"
48.861142162761_2.3677996181077,Pâtisserie Carette Vosges,563,25 place des Vosges
48.861142162761_2.3677996181077,Musée Carnavalet,590,23 rue de Sévigné
48.861142162761_2.3677996181077,BrewDog le Marais,490,1 place de Thorigny
48.861142162761_2.3677996181077,Bouillon République,591,39 boulevard du Temple
48.861142162761_2.3677996181077,Camille,636,24 rue des Francs Bourgeois
48.861142162761_2.3677996181077,Musée de la chasse et de la nature,672,62 rue des Archives
48.861142162761_2.3677996181077,Miznon,780,22 rue des Ecouffes
48.861142162761_2.3677996181077,Umami Matcha Café,668,22 rue Béranger
48.861142162761_2.3677996181077,The Broken Arm,607,"12 rue Perrée, 3e"
48.861142162761_2.3677996181077,Wild & The Moon,425,"55 rue Charlot, 3e"
48.861142162761_2.3677996181077,Café Charlot,430,38 rue de Bretagne
48.861142162761_2.3677996181077,L'As du Fallafel,760,34 rue des Rosiers
48.861142162761_2.3677996181077,Strada Café,771,94 rue du Temple
48.861142162761_2.3677996181077,Le Voltigeur,696,45 rue des Francs Bourgeois
48.861142162761_2.3677996181077,Le Colimaçon,794,44 rue Vieille du Temple le Marais
48.861142162761_2.3677996181077,BACK IN BLACK by KB Coffee Roasters,554,25 rue Amelot
48.861142162761_2.3677996181077,Musée des Archives Nationales,790,"60 rue des Francs Bourgeois, Marais"
48.861142162761_2.3677996181077,Café des Anges,803,"66 rue de la Roquette, 11e"
48.861142162761_2.3677996181077,Maison Européenne de la Photographie,930,"5-7 rue de Fourcy, 4e"
48.861142162761_2.3677996181077,Atelier des Lumières,976,38 rue Saint-Maur
48.861142162761_2.3677996181077,Chez Mademoiselle,959,16 rue Charlemagne
48.861142162761_2.3677996181077,Le temps des cerises,990,31 rue de la Cerisaie
48.861142162761_2.3677996181077,Le Servan,982,32 rue Saint-Maur
48.861142162761_2.3677996181077,Le Loir dans la Théière,725,3 rue des Rosiers
48.861142162761_2.3677996181077,Yann Couvreur Pâtisserie,778,23 bis rue des Rosiers
48.861142162761_2.3677996181077,Pozzetto,969,"39 rue du Roi de Sicile, 4e"
48.861142162761_2.3677996181077,Maison de Victor Hugo,678,6 place des Vosges
48.861142162761_2.3677996181077,Bistrot des Vosges,605,31 boulevard de Beaumarchais
48.861142162761_2.3677996181077,Le Ruisseau Burger Joint,973,22 rue Rambuteau
48.861142162761_2.3677996181077,Chez Haki,960,43 rue des Gravilliers
48.861142162761_2.3677996181077,Chez Pascal,818,54 rue des Archives
48.861142162761_2.3677996181077,Au Coeur du Marais,807,56 rue des Archives
48.861142162761_2.3677996181077,Palais des Glaces,889,37 rue du Faubourg du Temple
48.861142162761_2.3677996181077,Elmer,912,30 rue Notre Dame de Nazareth
48.861142162761_2.3677996181077,The Coffee. コーヒー,911,40 rue des Gravilliers
48.861142162761_2.3677996181077,Au Bourguignon du Marais,960,52 rue François Miron
